state,puma_description,msa_description,state_puma,state_msa
ga,Three Rivers Regional Commission (N Central)-Coweta County PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-02100,GA-12060
ga,Three Rivers Regional Commission (SW)-Troup/Meriwether+Heard Counties PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-02200,GA-12060
ga,Three Rivers Regional Commission (NW)-Carroll County PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-02300,GA-12060
ga,Atlanta Regional Commission (S Central)-Fayette County PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-02400,GA-12060
ga,NW Georgia Regional Commission (SW)-Floyd/Polk+Haralson Counties PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-02500,GA-12060
ga,NW Georgia Regional Commission (SW)-Floyd/Polk+Haralson Counties PUMA,Rome/GA,GA-02500,GA-40660
ga,NW Georgia Regional Commission-Walker/Catoosa/Chattooga+Dade Counties PUMA,Chattanooga/TN-GA,GA-02600,GA-16860
ga,NW Georgia Regional Commission (N Central)-Whitfield County PUMA,Dalton/GA,GA-02700,GA-19140
ga,NW Georgia Regional Commission (NE) PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-02800,GA-12060
ga,NW Georgia Regional Commission (NE) PUMA,Dalton/GA,GA-02800,GA-19140
ga,NW Georgia Regional Commission (E Central)-Bartow County PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-02900,GA-12060
ga,,,GA-03000,GA-17980
ga,Atlanta Regional Commission (NW)-Cobb County (Central)-Marietta City PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-03001,GA-12060
ga,Atlanta Regional Commission-Cobb County (NW)-Kennesaw+Acworth Cities PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-03002,GA-12060
ga,Atlanta Regional Commission (NW)-Cobb County (SW)-Powder Springs City PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-03003,GA-12060
ga,Atlanta Regional Commission (NW)-Cobb County (SE)-Smyrna City PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-03004,GA-12060
ga,Atlanta Regional Commission (NW)-Cobb County (NE) PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-03005,GA-12060
ga,,,GA-03100,GA-31420
ga,,,GA-03100,GA-47580
ga,,,GA-03100,GA-17980
ga,Atlanta Regional Commission-Cherokee County (Central)-Woodstock+Canton Cities PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-03101,GA-12060
ga,Atlanta Regional Commission-Cherokee County (Outside Woodstock+Canton Cities) PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-03102,GA-12060
ga,Georgia Mountains Regional Commission (N+NW) PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-03200,GA-12060
ga,Georgia Mountains Regional Commission (SW)-Forsyth County PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-03300,GA-12060
ga,Georgia Mountains Regional Commission (S Central)-Hall County PUMA,Gainesville/GA,GA-03400,GA-23580
ga,,,GA-03500,GA-42340
ga,NE Georgia Regional Commission (Central)-Clarke County-Athens City PUMA,Athens-Clarke County/GA,GA-03600,GA-12020
ga,NE Georgia Regional Commission (E) PUMA,Athens-Clarke County/GA,GA-03700,GA-12020
ga,NE Georgia Regional Commission (NW)-Barrow+Jackson Counties PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-03800,GA-12060
ga,NE Georgia Regional Commission (SW)-Walton/Morgan+Jasper Counties PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-03900,GA-12060
ga,Central Savannah River Area Regional Commission (E Central)-Richmond County PUMA,Augusta-Richmond County/GA-SC,GA-04000,GA-12260
ga,Atlanta Regional Commission (NE)-Gwinnett County (W Central)-Duluth City PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-04001,GA-12060
ga,Atlanta Regional Commission (NE)-Gwinnett County (N)-Sugar Hill City PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-04002,GA-12060
ga,Atlanta Regional Commission-Gwinnett County (Central)-Lawrenceville City PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-04003,GA-12060
ga,Atlanta Regional Commission (NE)-Gwinnett County (E) PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-04004,GA-12060
ga,Atlanta Regional Commission (NE)-Gwinnett County (S)-Snellville City PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-04005,GA-12060
ga,Atlanta Regional Commission (NE)-Gwinnett County (SW)-Lilburn City PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-04006,GA-12060
ga,Central Savannah River Area Regional Commission (E Central)-Columbia County PUMA,Augusta-Richmond County/GA-SC,GA-04100,GA-12260
ga,Central Savannah River Area Regional Commission (W+Outside Richmond+Columbia) PUMA,Augusta-Richmond County/GA-SC,GA-04200,GA-12260
ga,Atlanta+NE Georgia Regional Commissions-Newton+Rockdale Counties PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-04300,GA-12060
ga,Atlanta Regional Commission (SW)-Douglas County PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-04400,GA-12060
ga,NW Georgia Regional Commission (SE)-Paulding County PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-04500,GA-12060
ga,Atlanta Regional Commission-Fulton County (Central)-Atlanta City (Central) PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-04600,GA-12060
ga,Atlanta Regional Commission (S Central)-Clayton County (S) PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-05001,GA-12060
ga,Atlanta Regional Commission (S Central)-Clayton County (N)-Forest Park City PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-05002,GA-12060
ga,Atlanta Regional Commission (SE)-Henry County (S)-McDonough City PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-06001,GA-12060
ga,Atlanta Regional Commission (SE)-Henry County (N)-Stockbridge City PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-06002,GA-12060
hi,Maui/Kalawao+Kauai Counties PUMA,Kahului-Wailuku-Lahaina/HI,HI-00100,HI-27980
hi,,,HI-00200,HI-25900
hi,Honolulu County-Rural Oahu PUMA,Urban Honolulu/HI,HI-00301,HI-46520
hi,Honolulu County-Koolaupoko PUMA,Urban Honolulu/HI,HI-00302,HI-46520
hi,Honolulu County-E Honolulu to Kapahulu PUMA,Urban Honolulu/HI,HI-00303,HI-46520
hi,Honolulu County-Tantalus to Waikiki PUMA,Urban Honolulu/HI,HI-00304,HI-46520
hi,Honolulu County-Nuuanu to Kalihi PUMA,Urban Honolulu/HI,HI-00305,HI-46520
hi,Honolulu County-Moanalua to Pearl City PUMA,Urban Honolulu/HI,HI-00306,HI-46520
hi,Honolulu County-Central Oahu PUMA,Urban Honolulu/HI,HI-00307,HI-46520
hi,Honolulu County-Ewa PUMA,Urban Honolulu/HI,HI-00308,HI-46520
ia,,,IA-00100,IA-43580
ia,,,IA-00200,IA-47940
ia,,,IA-00300,IA-47940
ia,,,IA-00300,IA-20220
ia,Bremer/Winneshiek/Fayette/Clayton/Allamakee/Chickasaw+Howard Counties PUMA,Waterloo-Cedar Falls/IA,IA-00400,IA-47940
ia,Black Hawk County-Waterloo+Cedar Falls Cities PUMA,Waterloo-Cedar Falls/IA,IA-00500,IA-47940
ia,Webster/Hardin/Hamilton/Butler/Wright/Grundy/Franklin+Humboldt Counties PUMA,Waterloo-Cedar Falls/IA,IA-00600,IA-47940
ia,Dubuque/Buchanan/Jackson+Delaware Counties-Dubuque City PUMA,Dubuque/IA,IA-00700,IA-20220
ia,Clinton/Muscatine/Jones+Cedar Counties PUMA,Cedar Rapids/IA,IA-00800,IA-16300
ia,Scott County-Davenport City PUMA,Davenport-Moline-Rock Island/IA-IL,IA-00900,IA-19340
ia,Linn County-Cedar Rapids City PUMA,Cedar Rapids/IA,IA-01000,IA-16300
ia,Johnson County-Iowa City PUMA,Iowa City/IA,IA-01100,IA-26980
ia,Marshall/Benton/Poweshiek/Tama+Iowa Counties PUMA,Cedar Rapids/IA,IA-01200,IA-16300
ia,Story+Boone Counties-Ames City PUMA,Ames/IA,IA-01300,IA-11180
ia,Warren/Jasper/Marion/Dallas (W)+Madison Counties PUMA,Des Moines-W Des Moines/IA,IA-01400,IA-19780
ia,Polk (SW)+Dallas (E) Counties-W Des Moines+Urbandale Cities PUMA,Des Moines-W Des Moines/IA,IA-01500,IA-19780
ia,Polk County (E)-Ankeny+Altoona Cities PUMA,Des Moines-W Des Moines/IA,IA-01600,IA-19780
ia,Des Moines City PUMA,Des Moines-W Des Moines/IA,IA-01700,IA-19780
ia,S Central Iowa PUMA,Des Moines-W Des Moines/IA,IA-01800,IA-19780
ia,,,IA-01900,IA-19340
ia,,,IA-01900,IA-16300
ia,Woodbury+Plymouth Counties-Sioux City PUMA,Sioux City/IA-NE-SD,IA-02000,IA-43580
ia,SW Iowa-Council Bluffs City PUMA,Omaha-Council Bluffs/NE-IA,IA-02100,IA-36540
ia,Wapello/Mahaska/Washington/Jefferson/Keokuk/Davis+Van Buren Counties PUMA,Iowa City/IA,IA-02200,IA-26980
ia,,,IA-02300,IA-19780
id,Bonner/Latah/Shoshone/Boundary/Benewah+Kootenai (SE) Counties PUMA,Coeur d'Alene/ID,ID-00100,ID-17660
id,Kootenai County (NW)-Coeur d'Alene/Post Falls+Hayden Cities PUMA,Coeur d'Alene/ID,ID-00200,ID-17660
id,Central Idaho-Lewiston City+Nez Perce Reservation PUMA,Boise City/ID,ID-00300,ID-14260
id,Central Idaho-Lewiston City+Nez Perce Reservation PUMA,Idaho Falls/ID,ID-00300,ID-26820
id,Central Idaho-Lewiston City+Nez Perce Reservation PUMA,Lewiston/ID-WA,ID-00300,ID-30300
id,Ada (N)/Payette/Canyon (N)/Gem+Washington Counties-Eagle City PUMA,Boise City/ID,ID-00400,ID-14260
id,Canyon (S)+Owyhee Counties-Caldwell+Nampa (S+W) Cities PUMA,Boise City/ID,ID-00500,ID-14260
id,Canyon (E)+Ada (W) Counties-Nampa (Central+E)+Meridian (W) Cities PUMA,Boise City/ID,ID-00600,ID-14260
id,,,ID-00700,ID-14260
id,Ada County (Central)-Meridian (NE)+Boise (Far W) Cities PUMA,Boise City/ID,ID-00701,ID-14260
id,Ada County (NE)-Boise (N+W)+Garden City Cities PUMA,Boise City/ID,ID-00702,ID-14260
id,Ada County (S)-Boise (S)+Kuna Cities PUMA,Boise City/ID,ID-00800,ID-14260
id,,,ID-00900,ID-26820
id,,,ID-00900,ID-30860
id,,,ID-00900,ID-38540
id,,,ID-00900,ID-14260
id,,,ID-01000,ID-14260
id,Bingham (Outside Fort Hall AIR)/Madison/Jefferson/Fremont+Teton Counties PUMA,Idaho Falls/ID,ID-01100,ID-26820
id,Bonneville County-Idaho Falls City PUMA,Idaho Falls/ID,ID-01200,ID-26820
id,SE Idaho-Pocatello/Chubbuck Cities+Fort Hall Reservation PUMA,Logan/UT-ID,ID-01300,ID-30860
id,SE Idaho-Pocatello/Chubbuck Cities+Fort Hall Reservation PUMA,Pocatello/ID,ID-01300,ID-38540
il,,,IL-00101,IL-19340
il,,,IL-00102,IL-19340
il,,,IL-00102,IL-37900
il,,,IL-00103,IL-19340
il,,,IL-00104,IL-44580
il,Rock Island County PUMA,Davenport-Moline-Rock Island/IA-IL,IL-00105,IL-19340
il,,,IL-00200,IL-19340
il,Henry/Mercer/Henderson/Warren/Hancock/McDonough+Fulton Counties PUMA,Davenport-Moline-Rock Island/IA-IL,IL-00202,IL-19340
il,,,IL-00300,IL-39500
il,,,IL-00400,IL-41180
il,Cass/Morgan/Scott/Greene/Macoupin/Jersey+Calhoun Counties PUMA,St Louis/MO-IL,IL-00401,IL-41180
il,,,IL-00500,IL-41180
il,Montgomery/Bond/Clinton/Fayette+Effingham Counties PUMA,St Louis/MO-IL,IL-00501,IL-41180
il,,,IL-00600,IL-16660
il,,,IL-00700,IL-16460
il,,,IL-00700,IL-20820
il,,,IL-00700,IL-34500
il,S+SE Illinois PUMA,Cape Girardeau/MO-IL,IL-00800,IL-16020
il,Jackson/Williamson/Franklin+Perry Counties PUMA,Carbondale-Marion/IL,IL-00900,IL-16060
il,,,IL-01000,IL-16060
il,,,IL-01000,IL-41180
il,Monroe/Randolph/Washington/Jefferson+Marion Counties PUMA,St Louis/MO-IL,IL-01001,IL-41180
il,,,IL-01101,IL-41180
il,,,IL-01102,IL-41180
il,St Clair County (Central+NE) PUMA,St Louis/MO-IL,IL-01104,IL-41180
il,St Clair County (NW/SW+SE) PUMA,St Louis/MO-IL,IL-01105,IL-41180
il,,,IL-01201,IL-41180
il,,,IL-01202,IL-41180
il,Madison County (E) PUMA,St Louis/MO-IL,IL-01204,IL-41180
il,Madison County (W)-Granite City/Alton/Wood River Cities+Godfrey Village PUMA,St Louis/MO-IL,IL-01205,IL-41180
il,Sangamon County-Springfield City PUMA,Springfield/IL,IL-01300,IL-44100
il,,,IL-01400,IL-44100
il,,,IL-01400,IL-14010
il,,,IL-01400,IL-16580
il,Macon County-Decatur City PUMA,Decatur/IL,IL-01500,IL-19500
il,,,IL-01600,IL-44100
il,,,IL-01600,IL-14010
il,,,IL-01600,IL-16580
il,Menard/Logan/De Witt/Piatt/Moultrie/Shelby+Christian Counties PUMA,Bloomington/IL,IL-01602,IL-14010
il,Menard/Logan/De Witt/Piatt/Moultrie/Shelby+Christian Counties PUMA,Champaign-Urbana/IL,IL-01602,IL-16580
il,Menard/Logan/De Witt/Piatt/Moultrie/Shelby+Christian Counties PUMA,Springfield/IL,IL-01602,IL-44100
il,,,IL-01700,IL-37900
il,Peoria County-Peoria City PUMA,Peoria/IL,IL-01701,IL-37900
il,,,IL-01800,IL-37900
il,Tazewell County PUMA,Peoria/IL,IL-01900,IL-37900
il,McLean County PUMA,Bloomington/IL,IL-02000,IL-14010
il,Champaign County-Champaign+Urbana Cities PUMA,Champaign-Urbana/IL,IL-02100,IL-16580
il,Livingston/Ford/Iroquois+Vermilion Counties PUMA,Champaign-Urbana/IL,IL-02200,IL-16580
il,Livingston/Ford/Iroquois+Vermilion Counties PUMA,Danville/IL,IL-02200,IL-19180
il,Kankakee County PUMA,Kankakee/IL,IL-02300,IL-28100
il,,,IL-02400,IL-36860
il,,,IL-02500,IL-37900
il,Knox/Stark/Bureau/Marshall+Woodford Counties PUMA,Peoria/IL,IL-02501,IL-37900
il,,,IL-02600,IL-37900
il,,,IL-02600,IL-16980
il,DeKalb County PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-02601,IL-16980
il,,,IL-02700,IL-16980
il,,,IL-02800,IL-40420
il,Winnebago County (SE+W)-Rockford City PUMA,Rockford/IL,IL-02801,IL-40420
il,,,IL-02900,IL-40420
il,,,IL-02900,IL-27500
il,Winnebago (NE)+Boone Counties PUMA,Rockford/IL,IL-02901,IL-40420
il,,,IL-03001,IL-16980
il,,,IL-03002,IL-16980
il,,,IL-03003,IL-16980
il,,,IL-03004,IL-16980
il,Kane County (SE)-Aurora Township PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03005,IL-16980
il,,,IL-03006,IL-16980
il,Kane County (E)-St Charles/Batavia (Central)+Geneva (Central) Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03007,IL-16980
il,Kane County (NE)-Elgin (N+Central)+Dundee Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03008,IL-16980
il,Kane County (W) PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03009,IL-16980
il,,,IL-03101,IL-28100
il,,,IL-03101,IL-16980
il,Will County (W Central)-Joliet+Troy Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03102,IL-16980
il,,,IL-03103,IL-16980
il,,,IL-03104,IL-16980
il,Will County (NW Central)-Plainfield+Lockport Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03105,IL-16980
il,Will County (NW)-DuPage+Wheatland Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03106,IL-16980
il,Will County (NE)-Frankfort/Homer+New Lenox (N) Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03107,IL-16980
il,Will County (S) PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03108,IL-16980
il,,,IL-03201,IL-16980
il,DuPage County (Central)-Milton Township PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03202,IL-16980
il,DuPage County (S Central)-Lisle Township PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03203,IL-16980
il,DuPage County (SE)-Downers Grove Township PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03204,IL-16980
il,DuPage County (E Central)-York Township PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03205,IL-16980
il,,,IL-03206,IL-16980
il,Dupage County (NE)-Addison+Bloomingdale (N) Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03207,IL-16980
il,DuPage County (NW)-Bloomingdale (S)/Wayne+Winfield (N) Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03208,IL-16980
il,DuPage County (SW)-Naperville+Winfield (S) Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03209,IL-16980
il,,,IL-03301,IL-16980
il,,,IL-03302,IL-16980
il,,,IL-03303,IL-16980
il,,,IL-03304,IL-16980
il,,,IL-03305,IL-16980
il,Lake County (NW)-Avon/Lake Villa/Antioch+Grant Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03306,IL-16980
il,Lake County (NE)-Waukegan/Zion/Benton+Newport Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03307,IL-16980
il,Lake County (SW)-Ela/Freemont/Wauconda+Cuba Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03308,IL-16980
il,Lake County (E Central)-Warren/Libertyville (N+E)+Shields Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03309,IL-16980
il,Lake County-Vernon/Moraine/W Deerfield+Libertyville (SE) Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03310,IL-16980
il,Cook County (NW)-Palatine+Barrington Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03401,IL-16980
il,,,IL-03402,IL-16980
il,,,IL-03403,IL-16980
il,,,IL-03404,IL-16980
il,,,IL-03405,IL-16980
il,,,IL-03406,IL-16980
il,Cook County (W Central)-Proviso/Riverside+River Forest Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03407,IL-16980
il,Cook County (Central)-Cicero/Berwyn+Oak Park Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03408,IL-16980
il,Cook County (W Central)-Lyons+Stickney Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03409,IL-16980
il,Cook County (SW)-Orland (W+Central)/Palos+Lemont Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03410,IL-16980
il,Cook County (S Central)-Worth+Calumet Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03411,IL-16980
il,Cook County (S Central)-Bremen+Orland (E) Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03412,IL-16980
il,Cook County (SE)-Thornton Township PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03413,IL-16980
il,Cook County (S)-Bloom+Rich Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03414,IL-16980
il,Cook County (N)-Wheeling Township (N+E) PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03415,IL-16980
il,Cook County (NE)-Northfield+New Trier Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03416,IL-16980
il,Cook County (NW)-Hanover+Schaumburg (NW) Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03417,IL-16980
il,Cook County (NW)-Schaumburg Township (S+Central) PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03418,IL-16980
il,Cook County (NW)-Elk Grove+Wheeling (SW) Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03419,IL-16980
il,Cook County (N)-Maine/Norwood Park Townships+Chicago City-Edison Park PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03420,IL-16980
il,Cook County (N)-Niles+Evanston Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03421,IL-16980
il,Cook County (W)-Leyden/Norwood Park (S) Townships+Chicago City-O'Hare PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03422,IL-16980
il,Chicago City (N)-Edgewater/Uptown+Rogers Park PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03501,IL-16980
il,Chicago City (N)-Lake View+Lincoln Park PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03502,IL-16980
il,Chicago City (N)-W Ridge/Lincoln Square+N Center PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03503,IL-16980
il,Chicago City (NW)-Irving Park/Albany Park/Forest Glen+N Park PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03504,IL-16980
il,,,IL-03505,IL-16980
il,,,IL-03506,IL-16980
il,,,IL-03507,IL-16980
il,,,IL-03508,IL-16980
il,,,IL-03509,IL-16980
il,,,IL-03510,IL-16980
il,,,IL-03511,IL-16980
il,,,IL-03512,IL-16980
il,,,IL-03513,IL-16980
il,,,IL-03514,IL-16980
il,,,IL-03515,IL-16980
il,,,IL-03516,IL-16980
il,,,IL-03517,IL-16980
il,,,IL-03518,IL-16980
il,,,IL-03519,IL-16980
il,Chicago City (NW)-Portage Park/Dunning+Jefferson Park PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03520,IL-16980
il,Chicago City (W)-Austin/Belmont Cragin+Montclare PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03521,IL-16980
il,Chicago City (NW)-Logan Square/Avondale+Hermosa PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03522,IL-16980
il,Chicago City (W)-N+S Lawndale/Humboldt Park/E+W Garfield Park PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03523,IL-16980
il,Chicago City (W)-W Town/Near W Side+Lower W Side PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03524,IL-16980
il,Chicago City (Central)-Near N Side/Loop+Near S Side PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03525,IL-16980
il,Chicago City (SW)-Brighton Park/New City/Bridgeport+McKinley Park PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03526,IL-16980
il,Chicago City (SW)-Gage Park/Garfield Ridge+W Lawn PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03527,IL-16980
il,Chicago City (S)-Chicago Lawn/Englewood/W Englewood+Greater Grand Crossing PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03528,IL-16980
il,Chicago City (S)-S Shore/Hyde Park/Woodlawn/Grand Boulevard+Douglas PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03529,IL-16980
il,Chicago City (S)-Ashburn/Washington Heights/Morgan Park+Beverly PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03530,IL-16980
il,Chicago City (S)-Auburn Gresham/Roseland/Chatham/Avalon Park+Burnside PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03531,IL-16980
il,Chicago City (S)-S Chicago/Pullman/W Pullman/E Side+S Deering PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03532,IL-16980
il,McHenry County (North/W+Central) PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03601,IL-16980
il,McHenry County (SE)-Algonquin/McHenry+Nunda Townships PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03602,IL-16980
il,Kendall+Grundy Counties PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IL-03700,IL-16980
in,,,IN-00100,IN-16980
in,Lake County (NW)-Hammond+E Chicago Cities PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IN-00101,IN-16980
in,Lake County (NE)-Gary City+Griffith Town PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IN-00102,IN-16980
in,Lake County (Central) PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IN-00103,IN-16980
in,Lake County (S) PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IN-00104,IN-16980
in,Porter County PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IN-00200,IN-16980
in,,,IN-00201,IN-16980
in,,,IN-00202,IN-16980
in,,,IN-00203,IN-16980
in,LaPorte County PUMA,Michigan City-La Porte/IN,IN-00300,IN-33140
in,,,IN-00400,IN-16980
in,,,IN-00400,IN-33140
in,St Joseph County (N)-S Bend City PUMA,S Bend-Mishawaka/IN-MI,IN-00401,IN-43780
in,St Joseph County (Outside S Bend City)-Mishawaka City PUMA,S Bend-Mishawaka/IN-MI,IN-00402,IN-43780
in,Elkhart County-Elkhart+Goshen Cities PUMA,Elkhart-Goshen/IN,IN-00500,IN-21140
in,,,IN-00600,IN-43780
in,Jasper/Starke/Fulton/Newton+Pulaski Counties PUMA,Chicago-Naperville-Elgin/IL-IN-WI,IN-00700,IN-16980
in,,,IN-00800,IN-21140
in,,,IN-00800,IN-29200
in,Huntington/Whitley/Adams+Wells Counties PUMA,Fort Wayne/IN,IN-00900,IN-23060
in,,,IN-01000,IN-23060
in,Allen County (Central)-Fort Wayne City (S) PUMA,Fort Wayne/IN,IN-01001,IN-23060
in,Allen County (Central)-Fort Wayne City (N) PUMA,Fort Wayne/IN,IN-01002,IN-23060
in,Allen County (Outside Fort Wayne City) PUMA,Fort Wayne/IN,IN-01003,IN-23060
in,Montgomery/Clinton/White/Carroll+Benton Counties PUMA,Lafayette-W Lafayette/IN,IN-01100,IN-29200
in,Tippecanoe County-Lafayette+W Lafayette Cities PUMA,Lafayette-W Lafayette/IN,IN-01200,IN-29200
in,Howard/Cass+Tipton Counties-Kokomo City PUMA,Kokomo/IN,IN-01300,IN-29020
in,,,IN-01400,IN-29200
in,,,IN-01400,IN-45460
in,,,IN-01500,IN-29020
in,,,IN-01500,IN-45460
in,,,IN-01500,IN-26900
in,Clay/Sullivan/Parke/Fountain/Vermillion+Warren Counties PUMA,Terre Haute/IN,IN-01600,IN-45460
in,Vigo County-Terre Haute City PUMA,Terre Haute/IN,IN-01700,IN-45460
in,,,IN-01800,IN-29200
in,Boone+Hamilton (NW) Counties PUMA,Indianapolis-Carmel-Anderson/IN,IN-01801,IN-26900
in,Hamilton County (Central)-Carmel City+Fishers Town (W) PUMA,Indianapolis-Carmel-Anderson/IN,IN-01802,IN-26900
in,Hamilton County (E)-Noblesville City+Fishers Town (E) PUMA,Indianapolis-Carmel-Anderson/IN,IN-01803,IN-26900
in,Madison County-Anderson City PUMA,Indianapolis-Carmel-Anderson/IN,IN-01900,IN-26900
in,,,IN-01901,IN-26900
in,,,IN-01902,IN-26900
